Magic Carpets of Aladdin,10,18
Jungle Cruise,45,80
Pirates of the Caribbean,30,58
Its a small World,22,49
Peter Pan's Flight,58,88
The Many adventures of Winnie the Pooh,29,45
Mad Tea Party,10,14
Dumbo the Flying Elephant,15,21
The Barnstomer,15,19
Walt Disney's World Railroad - Fantasyland,15,18
Prince Charming Regal Carrousel,11,20
Seven Dwarfs Mine Train,78,118
Under the Sea - Little Mermaid,20,46
Walt Disney World Railroad - Frontierland,14,18
Splash Mountain,35,65
Big Thunder Mountain Railroad,38,73
Tomorrowland Speeddway,24,48
Space Mountain,55,92
Astro Orbiter,20,28
People Mover,14,24
Carousel of Progress,6,12
Buzz Lightyear'sSpace Ranger Spin,33,64
Monster Inc. Laugh Floor,31,35
Tron Lightcycle Run,65,120
Liberty Square RIver Boat,15,22
Haunted Mansion,20,45
Walt Disney's World Railroad - Main Street,17,24
